vgmdbId,vgmdbUrl,externalImageUrl
15177,https://vgmdb.net/album/15177,
59944,https://vgmdb.net/album/59944,
1536,https://vgmdb.net/album/1536,
40239,https://vgmdb.net/album/40239,
44071,https://vgmdb.net/album/44071,
154948,https://vgmdb.net/album/154948,
120822,https://vgmdb.net/album/120822,
76,https://vgmdb.net/album/76,
1282,https://vgmdb.net/album/1282,
136235,https://vgmdb.net/album/136235,
4924,https://vgmdb.net/album/4924,
70347,https://vgmdb.net/album/70347,
3410,https://vgmdb.net/album/3410,
3422,https://vgmdb.net/album/3422,
4018,https://vgmdb.net/album/4018,
58,https://vgmdb.net/album/58,
74924,https://vgmdb.net/album/74924,
43,https://vgmdb.net/album/43,
3389,https://vgmdb.net/album/3389,
118,https://vgmdb.net/album/118,
19572,https://vgmdb.net/album/19572,
64086,https://vgmdb.net/album/64086,
55314,https://vgmdb.net/album/55314,
73,https://vgmdb.net/album/73,
3415,https://vgmdb.net/album/3415,
101759,https://vgmdb.net/album/101759,
152791,https://vgmdb.net/album/152791,
1583,https://vgmdb.net/album/1583,
99613,https://vgmdb.net/album/99613,
90334,https://vgmdb.net/album/90334,
80898,https://vgmdb.net/album/80898,
32972,https://vgmdb.net/album/32972,
3450,https://vgmdb.net/album/3450,
13850,https://vgmdb.net/album/13850,
5718,https://vgmdb.net/album/5718,
3388,https://vgmdb.net/album/3388,
182,https://vgmdb.net/album/182,
6987,https://vgmdb.net/album/6987,
39644,https://vgmdb.net/album/39644,
4846,https://vgmdb.net/album/4846,
71162,https://vgmdb.net/album/71162,
60339,https://vgmdb.net/album/60339,
